tale_id,episode_id,sentence,num_words,num_clauses,dep_distance,Eventfulness,I,hurst_dep_distance,hurst_eventfulness,hurst_I
1,15,Der amerikanische Athlet Ray Ewry im Stehend-Weitsprung bei den Olympischen Spielen 1900 in Paris.,15,1,60,0.5,30.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,15,"Er gewann Goldmedaillen in allen drei Springwettbewerben, darunter im Hochsprung und im Dreisprung.",15,3,105,0.5,52.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,16,"Der Langstreckenläufer Michel Théato nimmt am Marathon der Olympischen Spiele 1900 in Paris teil, den er gewann.",19,2,106,1.0,106.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,17,28 Länder schickten Athleten zu insgesamt 95 Wettkämpfen.,9,1,21,0.5,10.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,17,So weit entfernte Länder wie Haiti und Peru beteiligten sich.,11,3,39,0.5,19.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,18,"Bei den Olympischen Spielen 1900 waren zum ersten Mal Frauen vertreten – allerdings mit eingeschränktem Zugang zu den Veranstaltungen, da Pierre de Coubertin die Teilnahme von Frauen an öffentlichen Wettbewerben missbilligte.",33,4,353,0.5,176.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,18,"Dennoch traten 22 Frauen in fünf Sportarten an: Tennis, Segeln, Golf, Reiten und Krocket.",19,6,154,0.5,77.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,19,"Allerdings hatte die Golferin Margaret Abbott wie einige andere Sportlerinnen keine Ahnung, dass sie an den Olympischen Spielen teilnahm und dass sie die erste Amerikanerin war, die eine olympische Veranstaltung gewann.",34,7,499,1.0,499.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,20,Die amerikanische Golfspielerin Margaret Abbott spielt bei den Olympischen Spielen der Frauen im 19.,15,1,60,0.3333333333333333,20.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,20,Jahrhundert.,2,1,1,0.3333333333333333,0.3333333333333333,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,20,Sie gewann mit einer Punktzahl von 47 Schlägen.,9,1,21,0.3333333333333333,7.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,21,Die britische Tennisspielerin Charlotte Cooper gewann die Einzelmeisterschaft und wurde die erste Einzel-Olympiasiegerin.,14,2,91,0.5,45.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,21,Sie gewann auch das Mixed-Doppel.,6,1,15,0.5,7.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,22,"Paris war die erste Stadt, in der die Olympischen Spiele zweimal stattfanden.",14,2,91,0.3333333333333333,30.33333333333333,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,22,Bis 1924 nahm das Interesse auf internationaler Ebene zu.,10,2,25,0.3333333333333333,8.333333333333332,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,22,Diesmal schickten 44 Länder Athleten.,6,1,11,0.3333333333333333,3.6666666666666665,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,23,"Leichtathletik und ein neues olympisches Schwimmbad mit markierten Wege sorgten für einen spannenden Wettkampf unter den wachsenden Spitzensportlern, die an den Spielen teilnahmen.",25,3,237,1.0,237.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,24,Einer dieser Athleten war der zukünftige FilmstarJohnny Weissmüller.,9,1,29,1.0,29.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,25,"Der amerikanische Schwimmer Johnny Weissmuller machte auf die Olympischen Spiele 1924 aufmerksam, indem er das 100-m- und 400-m-Freistil-Schwimmen sowie die 4 x 200-m-Staffel-Teamrennen dominierte.",26,3,175,1.0,175.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,26,"Der britische Athlet Harold Abrahams gewann den 100-Meter-Lauf in einer Zeit von 10,6 Sekunden.",15,1,60,1.0,60.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,27,"Der britische Athlet Eric Liddell weigerte sich aus religiösen Gründen, am Sonntag beim 100-Meter-Rennen teilzunehmen.",17,2,81,0.5,40.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,27,"Er nahm an den 400 Metern teil, die an einem Wochentag stattfanden, und gewann.",17,4,121,0.5,60.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,28,Die britischen Athleten Harold Abrahams und Eric Liddell waren später im Oscar-prämierten Film „Chariots of Fire“ von 1981 zu sehen.,23,2,141,1.0,141.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,29,Die Vereinigten Staaten hatten das Kommando über die Olympischen Spiele 1924.,12,1,42,0.5,21.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,29,"Das Team gewann insgesamt 32 Medaillen, wobei der Weitspringer William DeHart Hubbard der erste schwarze Amerikaner war, der eine olympische Goldmedaille gewann.",25,3,256,0.5,128.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,30,"Der französische Fechter Roger Ducret gewann fünf Medaillen, davon drei Goldmedaillen.",13,2,78,1.0,78.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,31,"An den Olympischen Spielen 1924 nahmen 135 Frauen teil, allerdings beschränkte sich ihre Teilnahme noch auf Sportarten wie Schwimmen, Tennis, Tauchen und Fechten.",27,7,186,1.0,186.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,32,"Die Spiele von 1924 waren die ersten Spiele, in denen Frauenfechten eingeführt wurde, und wurden von der dänischen Florettfechterin Ellen Ossier gewonnen.",25,4,156,0.5,78.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,32,"Die Mitglieder der US-amerikanischen Damen-Schwimmmannschaft, zu denen auch die Athletinnen Ethel Lackie und Getrude Ederle gehörten, holten insgesamt zehn Medaillen und die französische Tennisspielerin Julie Vlasto gewann Silber im Tennis-Einzel.",33,5,468,0.5,234.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,33,Dieses Mal kamen zu den Olympischen Spielen täglich bis zu 60.000 Zuschauer.,13,2,51,1.0,51.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,34,"Mit den Olympischen Spielen 1924 wurde das Ritual der Abschlusszeremonie eingeführt, das bis heute angewendet wird und bei dem die Flagge des Internationalen Olympischen Komitees, die Flagge des Gastgeberlandes und die Flagge des nächsten Gastgeberlandes gehisst werden.",40,6,582,1.0,582.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,35,Im Jahr 2024 ist Paris zum dritten Mal Austragungsort der Olympischen Spiele.,13,1,42,0.5,21.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,35,"Die olympische Flamme wanderte von Athen nach Marseille und durch viele berühmte Orte in Frankreich, sowohl innerhalb als auch außerhalb des Festlandes.",24,4,216,0.5,108.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,36,Mehr als 200 Länder und 10.000 Athleten nehmen teil.,10,3,25,0.25,6.25,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,36,"Gastgeber der Olympischen Spiele bringen immer Herausforderungen mit sich, wie sich unter anderem an lokalen Protesten gegen Wohnungsmangel und die Missachtung von Obdachlosen zeigt.",26,4,169,0.25,42.25,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,36,"Das Ziel der Stadt, diese Olympischen Spiele zu den nachhaltigsten aller Zeiten zu machen, ist ein bewundernswertes Beispiel für zukünftige Spiele.",24,3,186,0.25,46.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,36,"Man kann hoffen, dass dies zu besseren olympischen Zielen führt, indem man den am stärksten gefährdeten Gemeinschaften zuhört und Lösungen findet, die ihre Bedürfnisse nicht vernachlässigen.",30,6,407,0.25,101.75,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,37,"Wie in der Vergangenheit wirdPariseinen Moment bieten, in dem wir würdigen können, was die Menschheit in der Welt des Sports leisten kann, indem wir die Talente von Sportlern aus aller Welt würdigen.",36,5,336,0.5,168.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,37,"Viele werden dabei sein, um die besten Sportler ihres Landes bequem von zu Hause oder in Paris aus zu feiern.",22,3,133,0.5,66.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
2,1,Héloïse,1,1,0,1.0,0.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,2,Marianne,1,1,0,1.0,0.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,3,Gertrude Stein,2,1,1,1.0,1.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,4,Entdecken Sie Geschichten bemerkenswerter Frauen in Paris,7,1,21,1.0,21.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,5,Es gibt einen bekannten Dokumentarfilm (produziert 1996) mit dem Titel „Paris Was A Woman“.,19,3,126,0.5,63.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,5,Es feiert berühmte Frauen in Paris zwischen dem Ersten und dem Zweiten Weltkrieg.,14,2,49,0.5,24.5,0.6286362279574924,0.7489877475972455,0.720429005939949
2,6,"Man könnte diese Prämisse erweitern, um sowohl die Stadt als Frau einzubeziehen als auch einigen ihrer anderen berühmten Frauen aus der Vergangenheit eine Stimme zu geben, als Beweis für die Wahrhaftigkeit (Darstellung) dieses Titels.",39,8,704,1.0,704.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,7,"Die Schönheit von Paris verkörpert sich in ihrer Architektur von der Antike bis zur Moderne, durchdrungen von Linien und Kurven und prächtigen Türmen.",25,5,300,0.5,150.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,7,Kunstvoll verzierte Gebäude und farbenfrohe Gärten spiegeln die Kunstfertigkeit ihrer Erbauer wider.,13,2,78,0.5,39.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,8,"Paris war die Heimat von Frauen wie ihrer Schutzpatronin Genevieve, Christine de Pizan – der ersten Frau, die für ihr Schreiben bezahlt wurde – und Héloïse, der berühmten Nonne und Literatin des 12.",37,9,486,0.5,243.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,8,Jahrhunderts.,2,1,1,0.5,0.5,0.6286362279574924,0.7489877475972455,0.720429005939949
2,9,Paris ist auch für zeitgenössische Frauen aus dem 20. und 21.,12,2,36,0.5,18.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,9,"Jahrhundert bekannt, wie etwa die Philosophinnen Simone de Beauvoir und Hélene Cixous und natürlich die berühmte ModedesignerinCoco Chanel.",20,5,120,0.5,60.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,10,"Paris war Gastgeber dieser bemerkenswerten Frauen, die ihren Geist in einer Stadt hinterlassen haben, die wie sie Anmut, Intelligenz und Mut widerspiegelt.",26,6,181,0.5,90.5,0.6286362279574924,0.7489877475972455,0.720429005939949
2,10,"Paris bot ihren Frauen einen Raum zum Schaffen, Denken und Handeln – trotz der politischen, wirtschaftlichen und sozialen Einschränkungen, die ihre Stimmen und ihre Arbeit historisch oft unsichtbar machten.",33,8,273,0.5,136.5,0.6286362279574924,0.7489877475972455,0.720429005939949
2,11,Lassen uns wir einen Blick auf einige der vielen großartigen Frauen vonParis.,13,1,78,1.0,78.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,12,"Genevieve, eine gallo-römische Frau von adliger Herkunft, war die Schutzpatronin von Paris.",15,3,105,0.3333333333333333,35.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,12,Sie lebte im 5.,5,1,7,0.3333333333333333,2.333333333333333,0.6286362279574924,0.7489877475972455,0.720429005939949
2,12,Jahrhundert und war maßgeblich an der Rettung von Paris vor den einfallenden Armeen von Attila dem Hunnen (Herrscher des nomadischen Hunnenvolkes) beteiligt.,25,4,237,0.3333333333333333,79.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,13,"Die Pariser Bürger standen Genevieves Motiven zunächst skeptisch gegenüber, da sie eine Nachfahrin dessen war, was sie als „Außenseiter“ betrachteten.",25,5,181,0.5,90.5,0.6286362279574924,0.7489877475972455,0.720429005939949
2,13,"Sie gab den Pariserinnen den guten Rat, nicht zu fliehen, sondern zu bleiben und zu beten – das rettete sie vor dem Abschlachten.",26,5,189,0.5,94.5,0.6286362279574924,0.7489877475972455,0.720429005939949
2,14,Der Respekt vor ihrem Rat sicherte ihr den Platz als weise und ehrenwerte Heilige von Paris.,17,3,81,0.5,40.5,0.6286362279574924,0.7489877475972455,0.720429005939949
2,14,"Später wurde in ihrem Namen eine Kirche errichtet, in der ihre Reliquien begraben sind.",16,2,120,0.5,60.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,15,"DasMittelalterbrachte eine Reihe großer Denkerinnen, Schriftstellerinnen, Komponistinnen, Theologen und Künstlerinnen hervor.",15,5,105,0.3333333333333333,35.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,15,Héloïse von Paris war eine dieser Frauen.,8,1,28,0.3333333333333333,9.333333333333332,0.6286362279574924,0.7489877475972455,0.720429005939949
2,15,"Sie war eine revolutionäre Denkerin auf dem Gebiet der Theologie und der Art und Weise, wie sie von Kirchengelehrten interpretiert wurde.",23,5,253,0.3333333333333333,84.33333333333333,0.6286362279574924,0.7489877475972455,0.720429005939949
2,16,"Ihre kritischen Überlegungen wurden von ihrem Privatlehrer Abélard, einem Geistlichen, respektiert, der in einem Brief an sie verkündete:",22,5,231,1.0,231.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,17,"Ich bin dir in jeder Hinsicht unterlegen, weil du mich selbst dort übertrifft, wo ich dich zu übertreffen schien",21,5,111,1.0,111.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,18,Er sah sie als eine intelligente Person.,8,2,16,0.5,8.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,18,"Später wurden sie leidenschaftliche Liebhaber, was für beide zu einem eher tragischen Ende führte.",16,2,66,0.5,33.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,19,"Die Liebe, die sie zum Ausdruck brachten, wurde als unangemessen angesehen – Héloïse und Abaelard konnten nicht legal heiraten, da die geistliche Ehe verboten war.",29,8,219,0.25,54.75,0.6286362279574924,0.7489877475972455,0.720429005939949
2,19,Sie heirateten jedoch heimlich und bekamen ein gemeinsames Kind.,10,2,31,0.25,7.75,0.6286362279574924,0.7489877475972455,0.720429005939949
2,19,"Héloïse war nicht in der Lage, ihr eigenes Kind, Astrolabe, großzuziehen.",15,4,105,0.25,26.25,0.6286362279574924,0.7489877475972455,0.720429005939949
2,19,Er wurde in die Obhut von Abaelards Schwester Dionysia gegeben.,11,1,55,0.25,13.75,0.6286362279574924,0.7489877475972455,0.720429005939949
2,20,"Abaelard bestand darauf, dass Heloise den Rest ihrer Tage abgeschottet von der Gesellschaft verbringen sollte, so wie er es selbst tat.",24,5,276,0.5,138.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,20,"Die Trennung war für zwei Menschen, die sich so sehr liebten, schmerzhaft",14,3,91,0.5,45.5,0.6286362279574924,0.7489877475972455,0.720429005939949
2,21,"In ihren Briefen aneinander sehen wir eine Liebe, die trotz ihrer Trennung hell brannte.",16,2,120,0.3333333333333333,40.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,21,"Letztendlich erinnern wir uns an Héloïse als eine Frau mit großer Gelehrsamkeit und Anmut, die Abaelard bis zum Ende liebte.",22,5,177,0.3333333333333333,59.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,21,Sie sind gemeinsam auf dem Friedhof Père Lachaise in Paris begraben.,12,1,66,0.3333333333333333,22.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,22,"Marianne ist das allegorische Symbol eines größerenFrankreichsund repräsentiert die Grundsätze französischer politischer Ideale wie Freiheit, Gleichheit, Brüderlichkeit und Vernunft.",22,5,151,1.0,151.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,23,"Es ist daher ganz klar, dass es kein Wunder ist, dass man sich Paris als Frau vorstellt.",20,6,190,0.5,95.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,23,"Marianne nimmt ihren Platz unter anderen Göttinnen der Vernunft und Intelligenz ein, wie der römischen Göttin Minerva oder der griechischen Göttin Athene – zugleich wilde und weise Frauen.",30,7,335,0.5,167.5,0.6286362279574924,0.7489877475972455,0.720429005939949
2,24,"Sie war jedoch keine echte Person, doch sie wird in verschiedenen Formen als real vorgestellt: Gemälde, Marmorbüsten, Denkmäler und Statuen wie die in Paris gefundene.",30,9,435,1.0,435.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,25,"Paris hat auch Frauen von außerhalb Frankreichs aufgenommen, die auf der Suche nach Unterstützung für ihre intellektuelle und künstlerische Arbeit in die Stadt kamen.",26,3,225,1.0,225.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,26,"Eine der bemerkenswertesten war Gertrude Stein, die in Paris eine Avantgarde-Bewegung gründete, die ihr eigenes künstlerisches Denken über die Struktur der Literatur widerspiegelte – was die Vorstellungen von Stil, Inhalt und Sprache des späten 19.",39,6,669,0.3333333333333333,223.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,26,Jahrhunderts in Frage stellte.,5,1,10,0.3333333333333333,3.333333333333333,0.6286362279574924,0.7489877475972455,0.720429005939949
2,26,"Die Stadt akzeptierte Menschen, die einen alternativen Lebensstil lebten.",11,2,55,0.3333333333333333,18.33333333333333,0.6286362279574924,0.7489877475972455,0.720429005939949
2,27,Stein lebte dort mit ihrer lebenslangen Partnerin Alice B. Toklas und förderte viele modernistische Schriftsteller.,16,2,106,0.5,53.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,27,In ihrem Salon versammelten sich die amerikanischen Schriftsteller Ernest Hemingway und F. Scott Fitzgerald sowie Künstler wie der spanische Maler Pablo Picasso und der französische Maler Henri Matisse.,29,4,291,0.5,145.5,0.6286362279574924,0.7489877475972455,0.720429005939949
2,28,"Die Pariser Salons waren Orte, an denen Frauen die Akzeptanz und Wertschätzung ihrer künstlerischen Arbeit testen konnten.",19,3,90,0.5,45.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,28,"Stein gründete ihren eigenen Salon, der sie, Alice B. Toklas und andere bei ihren eigenen künstlerischen Unternehmungen unterstützte.",21,4,159,0.5,79.5,0.6286362279574924,0.7489877475972455,0.720429005939949
2,29,"In der Einrichtung solcher Orte sehen wir ihren innovativen Antrieb, die Tradition der Frauenförderung fortzuführen, die ihr die Stadt Paris geboten hat.",25,3,205,0.5,102.5,0.6286362279574924,0.7489877475972455,0.720429005939949
2,29,Sie ist berühmt für ihren Ausspruch,6,1,15,0.5,7.5,0.6286362279574924,0.7489877475972455,0.720429005939949
2,30,Amerika ist mein Land und Paris ist meine Heimatstadt.,10,2,45,1.0,45.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,31,Sie und Alice blieben trotz der Wirren und Entbehrungen desZweiten Weltkriegsin Frankreich.,13,3,51,1.0,51.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,32,"Nach dem Krieg kehrten beide in ihre geliebte Stadt Paris zurück, wo sie ihre Arbeit fortsetzten.",18,3,101,0.3333333333333333,33.666666666666664,0.6286362279574924,0.7489877475972455,0.720429005939949
2,32,Stein schrieb „Wars I Have Seen“ ein Jahr vor ihrem Tod im Jahr 1946.,17,1,121,0.3333333333333333,40.33333333333333,0.6286362279574924,0.7489877475972455,0.720429005939949
2,32,Gertrude Stein und ihre Partnerin Alice B. Toklas sind wie Héloïse und Abélard gemeinsam auf dem Friedhof Pére Lachaise begraben.,21,4,210,0.3333333333333333,70.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,33,"Viele weitere Künstlerinnen, Schriftstellerinnen, Philosophinnen, Wissenschaftlerinnen und Innovatorinnen profitierten von den Gaben von Paris.",18,5,87,0.5,43.5,0.6286362279574924,0.7489877475972455,0.720429005939949
2,33,"Die Stadt Paris ist in der Tat eine Frau: ein Ort, an dem Frauen Trost, Unterstützung und Inspiration für ihre Arbeit finden und auch heute noch finden können.",32,7,496,0.5,248.0,0.6286362279574924,0.7489877475972455,0.720429005939949
2,34,"Zur Würdigung aller Beiträge, die Frauen zur Menschheitsgeschichte geleistet haben, sollte die Stadt Paris zu denjenigen gezählt werden, die Frauen die Möglichkeit geboten haben, eine Frau zu werden, wie Simone de Beauvoir es ausdrückte.",40,7,402,1.0,402.0,0.6286362279574924,0.7489877475972455,0.720429005939949
3,1,Wann hat Anna Boberg dieNordlichter gemalt?,7,1,21,1.0,21.0,0.28186826300186474,0.5548959509752166,0.554515896849242
3,2,Die Malerin hielt die arktischen Landschaften der  Lofoten und des nördlichen Norwegens fest,13,2,58,1.0,58.0,0.28186826300186474,0.5548959509752166,0.554515896849242
3,3,"Anna Boberg war eine vielseitige Autodidaktin, die für ihre Darstellungen arktischer Landschaften der norwegischen Lofoten bekannt war.",19,2,171,0.5,85.5,0.28186826300186474,0.5548959509752166,0.554515896849242
3,3,"Die Lofoten waren ein Ort, der ihr sehr am Herzen lag und den sie ihr Leben lang immer wieder aufsuchte.",22,3,193,0.5,96.5,0.28186826300186474,0.5548959509752166,0.554515896849242
3,4,Anna wurde 1864 in Schweden geboren.,7,1,21,0.5,10.5,0.28186826300186474,0.5548959509752166,0.554515896849242
3,4,"Ihre Familie besaß  ein starkes künstlerisches Erbe: Ihre Leidenschaft für die Kunst hatte sie von ihrem Vater, Fredrik Wilhelm Scholander, einem bekannten Architekten, und ihrer Mutter, Carin Scholander, einer Theosophin und Übersetzerin.",39,9,605,0.5,302.5,0.28186826300186474,0.5548959509752166,0.554515896849242
3,5,"Ab 1887 widmete sie sich der Malerei, wobei sie vor allem Aquarelle bevorzugte.",15,2,105,0.3333333333333333,35.0,0.28186826300186474,0.5548959509752166,0.554515896849242
3,5,Ihre erste Ausstellung fand im Jahr 1888 statt.,9,1,36,0.3333333333333333,12.0,0.28186826300186474,0.5548959509752166,0.554515896849242
3,5,"Zu ihren Landschaftsbildern gehören unter anderem Studien aus Jerusalem, SüdfrankreichundItalien.",12,2,42,0.3333333333333333,14.0,0.28186826300186474,0.5548959509752166,0.554515896849242
3,6,"Abgesehen von einem kurzen Aufenthalt an der Académie Julian in Paris in den späten 1880er Jahre, erhielt Anna keine formale künstlerischen Ausbildung Dennoch blühte ihr Talent auf.",29,2,354,1.0,354.0,0.28186826300186474,0.5548959509752166,0.554515896849242
3,7,"Während ihrer Zeit inParislernte sie ihren späteren Ehemann, den Architekten Ferdinand Boberg, kennen.",16,4,120,0.5,60.0,0.28186826300186474,0.5548959509752166,0.554515896849242
